nasdaq 's gain was led by its biggest industrial stocks	its biggest industrial stocks led nasdaq 's gain
most bills are drafted by bureaucrats not politicians	bureaucrats not politicians draft most bills
the notes are rated mig-1 by moody 's investors service inc	moody 's investors service inc rats the notes mig-1
all 3.35 billion in debt for the deal was supplied by banks	banks supplyed all 3.35 billion in debt for the deal
bond market analysts say the institutional selling was triggered by several factors	bond market analysts say several factors triggered the institutional selling
censorship is imposed by terrorism	terrorism imposes censorship
the bleak trade report was played down by the bush administration	the bush administration played the bleak trade report down
aflatoxin is released by molds during grain and seed storage	molds release aflatoxin during grain and seed storage
the offering series 1989-86 is backed by fannie mae 9 % securities	fannie mae 9 % securities back the offering series 1989-86
that was offset by strength elsewhere	strength elsewhere offsetted that
the business closed when the owner was murdered by robbers	the business closed when robbers murdered the owner
the highway system is screwed up by the earthquake mr. engelken said	the earthquake screws the highway system up mr. engelken said
drexel is owed 20 million by the partnership	the partnership owes drexel 20 million
transcanada is 49.1 % owned by montreal-based holding company bce inc	montreal-based holding company bce inc 49.1 % transcanada owns
the proposal however was immediately rebuffed by arby 's parent dwg corp	arby 's parent dwg corp however rebuffed the proposal
the issue is backed by freddie mac 8 1\/2 % securities	freddie mac 8 1\/2 % securities back the issue
some economists and many japanese companies are puzzled by the warnings	the warnings puzzle some economists and many japanese companies
it is 38.5 % owned by canadian express another holding company	canadian express another holding company 38.5 % it owns
it was succeeded in the group by fuqua industries inc	fuqua industries inc succeeded it in the group
the issue is backed by fannie mae 9 % securitiess	fannie mae 9 % securitiess back the issue
mr. bauman a conservative says he was deserted by the right wing	mr. bauman a conservative says the right wing deserted him
his melodious confutatis was smoothly sung by bass brian matthews	bass brian matthews smoothly his melodious confutatis sang
this action was defended by the canadian government on conservation grounds	the canadian government defended this action on conservation grounds
but then it was acquired by household international inc	but then household international inc acquired it
fittingly the tela accords were nicknamed by hondurans the dodd plan	fittingly hondurans nicknamed the tela accords the dodd plan
the accident was caused by faulty operation of a valve	faulty operation of a valve caused the accident
some traders said the high-yield market was helped by active institutional buying	some traders said active institutional buying helped the high-yield market
the offering series 109 is backed by freddie mac 10 % securities	freddie mac 10 % securities back the offering series 109
the offering series 104 is backed by freddie mac 9 % securities	freddie mac 9 % securities back the offering series 104
more than three-fourths of poor black families were headed by women	women headed more than three-fourths of poor black families
separately century bank phoenix ariz. was closed by arizona banking officials	separately arizona banking officials closed century bank phoenix ariz.
the disaster fund is replenished by loan repayments	loan repayments replenish the disaster fund
the largest suburban propane was already owned by quantum	quantum owned the largest suburban propane
both ads were designed by omnicom 's ddb needham agency	omnicom 's ddb needham agency designed both ads
the offering series 1989-84 is backed by fannie mae 9 % securities	fannie mae 9 % securities back the offering series 1989-84
each rothschild bank is linked by family ties and cross-ownership	family ties and cross-ownership links each rothschild bank
israel was seated by a vote of 95-37 with 15 abstentions	a vote of 95-37 seated israel with 15 abstentions
the financial-services industry was battered by the 1987 crash	the 1987 crash battered the financial-services industry
two new remics totaling 900 million were announced by freddie mac yesterday	freddie mac announced two new remics totaling 900 million yesterday
the offering series 1989-83 is backed by fannie mae 9 % securities	fannie mae 9 % securities back the offering series 1989-83
leverage is used only by some of the closed-end funds	some of the closed-end funds use leverage only
mid-sized companies were most affected by talk of layoffs or plant closings	talk of layoffs or plant closings most mid-sized companies affected
the charter was approved by the ec commission on sept. 21	the ec commission approved the charter on sept. 21
gray was advised by goldman sachs and merrill lynch	goldman sachs and merrill lynch advised gray
about 1,150 employees are covered by the new agreement deere said	the new agreement covers about 1,150 employees deere said
the insured bonds are rated triple-a by moody 's and s&p	moody 's and s&p rats the insured bonds triple-a
analysts were only slightly disappointed by citicorp 's numbers	citicorp 's numbers only slightly analysts disappointed
net was aided by a lower income tax rate	a lower income tax rate aided net
rmi titanium is owned jointly by usx and quantum chemical corp	usx and quantum chemical corp owns rmi titanium jointly
the difference is magnified by time too	time magnifies the difference too
traders said the futures buying was finely calculated by program traders	traders said program traders finely the futures buying calculated
these increases were partly offset by lower trading-related income the bank said	lower trading-related income partly these increases offsetted the bank said
maybe they were hidden by all the people	maybe all the people hid them
even the beloved dallas cowboys were bought by an arkansas oil man	an arkansas oil man bought even the beloved dallas cowboys
completion of the project is expected by mid-1992	mid-1992 expects completion of the project
the offering series 1989-85 is backed by fannie mae 9 % securities	fannie mae 9 % securities back the offering series 1989-85
last year 's results were hurt by 41.3 million in restructuring charges	41.3 million in restructuring charges hurt last year 's results
most are anchored by a k mart store	a k mart store anchors most
at that rate the defense plan is underfunded by 48 billion	at that rate 48 billion underfunded the defense plan
share earnings are reported on a fully diluted basis by company tradition	company tradition reports share earnings on a fully diluted basis
the bonds are all rated single-a by moody 's investors service inc	moody 's investors service inc does all rated the bonds single-a
remic mortgage securities was launched by a morgan stanley group	a morgan stanley group launched remic mortgage securities
taxpayers ' rights are defined by a growing number of states	a growing number of states defines taxpayers ' rights
the name maidenform was coined by a third business partner enid bissett	a third business partner enid bissett coined the name maidenform
the futures halt was even assailed by big board floor traders	big board floor traders assailed the futures halt
a natural gas rule was struck down by a federal appeals court	a federal appeals court struck a natural gas rule down
a number of developments were negatively interpreted by traders	traders interpretted a number of developments
dealers said it was hit by some profit-taking after gains since mid-week	dealers said some profit-taking after gains since mid-week hit it
that offer was endorsed by the shareholders committee	the shareholders committee endorsed that offer
this legislation was not drafted by a handful of democratic do-gooders	a handful of democratic do-gooders did not drafted this legislation
